Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,sum,mean/TotalDistance,xi-mean,xi-mean^2,sum(xi-mean^2,sum(xi-mean^2/N,,Normal Dist
1503960366,3/25/2016,11004,7.110000134,7.110000134,0,2.569999933,0.460000008,4.070000172,0,33,12,205,804,1819,2131.229998,4.663522972,2.446477162,5.985250506,7598.471183,16.6268516,4.07760366,0.081721717
1503960366,3/26/2016,17609,11.55000019,11.55000019,0,6.920000076,0.730000019,3.910000086,0,89,17,274,588,2154,,,6.886477218,47.42356848,,,,0.023504535
1503960366,3/27/2016,12736,8.529999733,8.529999733,0,4.659999847,0.159999996,3.710000038,0,56,5,268,605,1944,,,3.866476761,14.94964255,,,,0.062411155
1503960366,3/28/2016,13231,8.930000305,8.930000305,0,3.190000057,0.790000021,4.949999809,0,39,20,224,1080,1932,,,4.266477333,18.20282884,,,,0.056594666
1503960366,3/29/2016,12041,7.849999905,7.849999905,0,2.160000086,1.090000033,4.610000134,0,28,28,243,763,1886,,,3.186476933,10.15363525,,,,0.072093853
1503960366,3/30/2016,10970,7.159999847,7.159999847,0,2.359999895,0.50999999,4.289999962,0,30,13,223,1174,1820,,,2.496476875,6.23239679,,,,0.081116601
1503960366,3/31/2016,12256,7.860000134,7.860000134,0,2.289999962,0.49000001,5.039999962,0,33,12,239,820,1889,,,3.196477162,10.21746625,,,,0.071955601
1503960366,1/4/2016,12262,7.869999886,7.869999886,0,3.319999933,0.829999983,3.640000105,0,47,21,200,866,1868,,,3.206476914,10.2814942,,,,0.071817188
1503960366,2/4/2016,11248,7.25,7.25,0,3,0.449999988,3.74000001,0,40,11,244,636,1843,,,2.586477028,6.689863419,,,,0.080008332
1503960366,3/4/2016,10016,6.369999886,6.369999886,0,0.910000026,1.279999971,4.179999828,0,15,30,314,655,1850,,,1.706476914,2.91206346,,,,0.08963413
1503960366,4/4/2016,14557,9.800000191,9.800000191,0,3.390000105,0.699999988,5.690000057,0,43,18,285,757,2030,,,5.136477219,26.38339823,,,,0.044252416
1503960366,5/4/2016,14844,9.729999542,9.729999542,0,2.940000057,0.75999999,6.039999962,0,36,18,341,736,2083,,,5.06647657,25.66918484,,,,0.045213137
1503960366,6/4/2016,11974,7.670000076,7.670000076,0,2.039999962,0.479999989,5.150000095,0,27,12,228,1173,1861,,,3.006477104,9.03890458,,,,0.074551547
1503960366,7/4/2016,10198,6.440000057,6.440000057,0,1.200000048,0.790000021,4.449999809,0,17,20,195,1208,1755,,,1.776477085,3.155870835,,,,0.08897936
1503960366,8/4/2016,12521,7.940000057,7.940000057,0,3.309999943,0.899999976,3.74000001,0,46,22,212,1160,1895,,,3.276477085,10.73530209,,,,0.070843768
1503960366,9/4/2016,12432,8.100000381,8.100000381,0,2.589999914,0.589999974,4.920000076,0,32,15,248,738,1883,,,3.436477409,11.80937699,,,,0.068592115
1503960366,10/4/2016,10057,6.980000019,6.980000019,0,4,0.49000001,2.480000019,0,44,13,168,737,1755,,,2.316477047,5.366065911,,,,0.083257632
1503960366,11/4/2016,10990,7.260000229,7.260000229,0,2.039999962,0.569999993,4.650000095,0,26,14,216,855,1811,,,2.596477257,6.741694149,,,,0.079883724
1503960366,12/4/2016,224,0.140000001,0.140000001,0,0,0,0.129999995,0,0,0,9,32,50,,,-4.523522971,20.46226006,,,,0.052877054
1624580081,3/25/2016,1810,1.179999948,1.179999948,0,0,0,1.129999995,0.01,0,0,121,1319,1373,,,-3.483523024,12.13493266,,,,0.067923871
1624580081,3/26/2016,815,0.529999971,0.529999971,0,0,0,0.529999971,0,0,0,47,1393,1264,,,-4.133523001,17.0860124,,,,0.05852766
